row_index,user_id,page,sale_id,date,load_time
3861403,59316c4b82d94b75a78e921cc9cff130,menu,,2022-05-19 8:33:57,0.069743
3861438,59316c4b82d94b75a78e921cc9cff130,menu,,2022-05-19 8:51:02,0.062672
3861465,1358bd56e02f413f853dd86eeba03434,menu,,2022-05-19 8:59:12,0.064599
3861524,1358bd56e02f413f853dd86eeba03434,basket,,2022-05-19 9:15:36,0.079555
3861617,0f6c2d8f51394430a5ec47268df54e62,menu,,2022-05-19 9:41:48,0.060811
3861681,0f6c2d8f51394430a5ec47268df54e62,menu,,2022-05-19 9:51:05,45.69655
3861700,0f6c2d8f51394430a5ec47268df54e62,menu,,2022-05-19 9:52:49,0.062437
3861794,0f6c2d8f51394430a5ec47268df54e62,basket,,2022-05-19 10:00:33,0.047746
3861799,7987f7834f204190aadf3ac554439052,menu,,2022-05-19 10:00:51,0.06459
3861858,7987f7834f204190aadf3ac554439052,menu,,2022-05-19 10:05:02,0.078126
3861925,7987f7834f204190aadf3ac554439052,menu,,2022-05-19 10:10:40,0.05311
3861996,7987f7834f204190aadf3ac554439052,menu,,2022-05-19 10:16:25,0.063502
3862038,7987f7834f204190aadf3ac554439052,basket,,2022-05-19 10:19:11,0.060065
3862120,922c9400a69c43788ca216244e6f32ab,menu,,2022-05-19 10:23:04,0.078531
3862193,b527ed8b53d2425795b02b2733d69567,menu,,2022-05-19 10:25:54,0.054817
3862306,922c9400a69c43788ca216244e6f32ab,menu,,2022-05-19 10:30:43,0.063232
3862316,b527ed8b53d2425795b02b2733d69567,menu,,2022-05-19 10:31:15,0.059596
3862399,922c9400a69c43788ca216244e6f32ab,basket,,2022-05-19 10:34:45,0.085646
3862598,b527ed8b53d2425795b02b2733d69567,basket,,2022-05-19 10:42:40,0.084115
3862625,2671a0b2e1684b6988200b5f12692066,menu,,2022-05-19 10:43:28,0.094005
3862641,b527ed8b53d2425795b02b2733d69567,menu,,2022-05-19 10:43:58,0.066925
3862760,7caf248f27bd41aabcaf636167f90b7d,menu,,2022-05-19 10:48:00,0.067369
3862809,2671a0b2e1684b6988200b5f12692066,basket,,2022-05-19 10:49:54,0.066849
3862860,2671a0b2e1684b6988200b5f12692066,menu,,2022-05-19 10:51:57,0.077849
3862873,7caf248f27bd41aabcaf636167f90b7d,menu,,2022-05-19 10:52:24,0.037923
3862887,7caf248f27bd41aabcaf636167f90b7d,menu,,2022-05-19 10:53:00,0.077476
3863064,7caf248f27bd41aabcaf636167f90b7d,menu,,2022-05-19 10:59:19,0.098531
3863125,7caf248f27bd41aabcaf636167f90b7d,basket,,2022-05-19 11:00:56,0.102556
3863197,7caf248f27bd41aabcaf636167f90b7d,basket,,2022-05-19 11:02:47,0.069743
3863237,7caf248f27bd41aabcaf636167f90b7d,menu,,2022-05-19 11:03:52,0.058052
3863284,7caf248f27bd41aabcaf636167f90b7d,payment,1407968,2022-05-19 11:05:24,0.080164
3863413,65168ee90276425caf7c3b37b9518079,menu,,2022-05-19 11:09:22,0.069382
3863548,65168ee90276425caf7c3b37b9518079,menu,,2022-05-19 11:13:26,0.066979
3863623,65168ee90276425caf7c3b37b9518079,menu,,2022-05-19 11:15:21,0.073283
3863873,65168ee90276425caf7c3b37b9518079,basket,,2022-05-19 11:20:59,0.075047
3863948,65168ee90276425caf7c3b37b9518079,basket,,2022-05-19 11:22:36,0.053097
3864032,65168ee90276425caf7c3b37b9518079,payment,1408047,2022-05-19 11:24:28,0.072255
3864050,45c50187bfa34a1da90cb6a31929017f,menu,,2022-05-19 11:24:54,0.047603
3864070,45c50187bfa34a1da90cb6a31929017f,menu,,2022-05-19 11:25:26,0.05828
3864232,ba20a79c6d7c4fdf8ee3895e4f1bb56e,menu,,2022-05-19 11:28:55,0.059842
3864270,45c50187bfa34a1da90cb6a31929017f,menu,,2022-05-19 11:29:50,0.071252
3864279,45c50187bfa34a1da90cb6a31929017f,menu,,2022-05-19 11:29:57,0.083898
3864290,543ed9cf96db429b91307330275557fb,menu,,2022-05-19 11:30:12,0.064147
3864296,0c439ddd16ee4769b02d8860064b58f0,menu,,2022-05-19 11:30:17,0.062629
3864393,ba20a79c6d7c4fdf8ee3895e4f1bb56e,menu,,2022-05-19 11:32:04,0.058553
3864428,0c439ddd16ee4769b02d8860064b58f0,menu,,2022-05-19 11:32:46,0.057625
3864429,0c439ddd16ee4769b02d8860064b58f0,menu,,2022-05-19 11:32:46,0.068923
3864478,ba20a79c6d7c4fdf8ee3895e4f1bb56e,menu,,2022-05-19 11:33:39,0.07367
3864483,0c439ddd16ee4769b02d8860064b58f0,menu,,2022-05-19 11:33:42,0.058122
3864485,543ed9cf96db429b91307330275557fb,menu,,2022-05-19 11:33:43,0.07309
3864605,45c50187bfa34a1da90cb6a31929017f,menu,,2022-05-19 11:35:49,0.071435
3864673,c2096989cfbd4e6397e2b502779f8325,menu,,2022-05-19 11:37:19,0.080374
3864731,ba20a79c6d7c4fdf8ee3895e4f1bb56e,menu,,2022-05-19 11:38:15,0.074556
3864738,7e095194c66e4569af4d2fd5dcbbfa7d,menu,,2022-05-19 11:38:21,0.05582
3864793,543ed9cf96db429b91307330275557fb,menu,,2022-05-19 11:39:36,0.080922
3864814,45c50187bfa34a1da90cb6a31929017f,basket,,2022-05-19 11:39:58,0.061331
3864893,0c439ddd16ee4769b02d8860064b58f0,menu,,2022-05-19 11:41:40,0.066354
3864900,7e095194c66e4569af4d2fd5dcbbfa7d,menu,,2022-05-19 11:41:48,0.06726
3864942,45c50187bfa34a1da90cb6a31929017f,payment,1408133,2022-05-19 11:42:21,0.047489
3864950,c2096989cfbd4e6397e2b502779f8325,menu,,2022-05-19 11:42:29,0.070665
3864970,7e095194c66e4569af4d2fd5dcbbfa7d,menu,,2022-05-19 11:42:48,0.072334
3864972,0c439ddd16ee4769b02d8860064b58f0,basket,,2022-05-19 11:42:49,0.06634
3865016,bb3e0fa70e9d4ffd84441924bb720266,menu,,2022-05-19 11:43:45,0.076474
3865033,543ed9cf96db429b91307330275557fb,basket,,2022-05-19 11:44:03,0.076469
3865105,bb3e0fa70e9d4ffd84441924bb720266,menu,,2022-05-19 11:45:01,0.072341
3865110,c2096989cfbd4e6397e2b502779f8325,menu,,2022-05-19 11:45:07,0.056923
3865198,0c439ddd16ee4769b02d8860064b58f0,payment,1408158,2022-05-19 11:46:31,0.0763
3865233,543ed9cf96db429b91307330275557fb,menu,,2022-05-19 11:46:58,0.063887
3865234,7e095194c66e4569af4d2fd5dcbbfa7d,menu,,2022-05-19 11:46:59,0.057065
3865276,543ed9cf96db429b91307330275557fb,basket,,2022-05-19 11:47:42,0.0701
3865315,543ed9cf96db429b91307330275557fb,payment,1408178,2022-05-19 11:48:19,0.078033
3865332,543ed9cf96db429b91307330275557fb,menu,,2022-05-19 11:48:43,0.075549
3865367,bb3e0fa70e9d4ffd84441924bb720266,menu,,2022-05-19 11:49:19,0.093356
3865466,c2096989cfbd4e6397e2b502779f8325,menu,,2022-05-19 11:50:44,0.049699
3865470,c2096989cfbd4e6397e2b502779f8325,menu,,2022-05-19 11:50:47,0.062539
3865492,c2096989cfbd4e6397e2b502779f8325,basket,,2022-05-19 11:51:03,0.076
3865496,bb3e0fa70e9d4ffd84441924bb720266,menu,,2022-05-19 11:51:11,0.066376
