index,before_drinks_n,before_drinks_price,before_pizza_n,before_pizza_price,before_total_price,during_drinks_n,during_drinks_price,during_pizza_n,during_pizza_price,during_total_price
0,0,0,3,1980,1980,1,70,3,1850,1920
1,1,80,4,2650,2730,0,0,4,3060,3060
2,0,0,1,660,660,0,0,1,660,660
3,0,0,1,780,780,1,70,1,680,750
4,1,80,1,790,870,0,0,1,840,840
5,0,0,1,660,660,0,0,1,600,600
6,0,0,3,1920,1920,2,160,3,2090,2250
7,0,0,1,600,600,0,0,1,600,600
8,2,150,2,1380,1530,1,90,2,1290,1380
9,0,0,3,2160,2160,0,0,3,2340,2340
10,1,70,2,1460,1530,1,90,2,1590,1680
11,0,0,1,600,600,0,0,1,780,780
12,0,0,2,1500,1500,1,80,2,1210,1290
13,2,170,2,1570,1740,1,80,2,1630,1710
14,1,80,1,790,870,1,70,1,770,840
15,1,80,1,610,690,0,0,1,780,780
16,0,0,3,2100,2100,0,0,3,2160,2160
17,1,80,2,1540,1620,1,80,2,1540,1620
18,1,80,1,820,900,0,0,1,840,840
19,0,0,1,660,660,0,0,1,660,660
20,0,0,2,1440,1440,0,0,2,1440,1440
21,0,0,2,1560,1560,0,0,2,1200,1200
22,1,80,1,700,780,1,80,1,700,780
23,0,0,1,840,840,0,0,1,780,780
24,0,0,1,780,780,0,0,1,660,660
25,0,0,2,1320,1320,0,0,2,1440,1440
26,0,0,1,600,600,0,0,1,780,780
27,0,0,1,600,600,1,80,1,610,690
28,0,0,4,2880,2880,2,140,4,2740,2880
29,1,90,2,1590,1680,1,90,2,1590,1680
30,1,80,2,1630,1710,1,70,2,1610,1680
31,0,0,1,780,780,1,90,1,720,810
32,0,0,1,660,660,1,70,1,620,690
33,1,80,2,1480,1560,0,0,2,1620,1620
34,0,0,2,1200,1200,0,0,2,1140,1140
35,0,0,1,780,780,1,80,1,730,810
36,0,0,1,540,540,1,80,1,730,810
37,0,0,1,780,780,0,0,1,780,780
38,0,0,1,780,780,0,0,1,600,600
39,0,0,1,600,600,1,80,1,730,810
40,1,90,2,1620,1710,0,0,3,1800,1800
41,0,0,2,1560,1560,1,70,2,1520,1590
42,0,0,1,780,780,0,0,1,780,780
43,0,0,1,780,780,0,0,1,780,780
44,1,80,2,1060,1140,0,0,2,1080,1080
45,0,0,4,2640,2640,1,90,4,2550,2640
46,0,0,1,720,720,0,0,1,720,720
47,0,0,2,1320,1320,0,0,2,1260,1260
48,1,90,2,1620,1710,1,90,2,1620,1710
49,1,80,1,670,750,0,0,1,600,600
50,1,90,1,720,810,0,0,1,660,660
51,0,0,1,840,840,0,0,1,840,840
52,0,0,1,720,720,1,70,1,740,810
53,0,0,1,720,720,1,70,1,800,870
54,1,80,2,1390,1470,0,0,2,1380,1380
55,0,0,1,660,660,0,0,1,660,660
56,0,0,1,600,600,0,0,1,600,600
57,0,0,2,1440,1440,1,90,2,1320,1410
58,0,0,3,2280,2280,1,90,3,1950,2040
59,1,80,3,1960,2040,1,70,3,1970,2040
60,2,170,4,2710,2880,1,70,4,2930,3000
61,0,0,1,720,720,0,0,1,720,720
62,0,0,1,780,780,1,80,1,730,810
63,0,0,1,540,540,0,0,1,540,540
64,0,0,1,600,600,0,0,1,600,600
65,0,0,5,3000,3000,2,160,5,2960,3120
66,1,80,1,550,630,0,0,1,600,600
67,0,0,1,540,540,0,0,1,540,540
68,0,0,1,600,600,0,0,1,780,780
69,1,80,1,670,750,0,0,1,780,780
70,0,0,1,540,540,0,0,1,540,540
71,1,80,3,2110,2190,0,0,3,2040,2040
72,1,70,1,620,690,0,0,1,840,840
73,0,0,3,2040,2040,0,0,3,2100,2100
74,0,0,1,540,540,1,80,1,550,630
75,1,90,2,1470,1560,1,80,2,1480,1560
76,1,70,1,620,690,1,70,1,620,690
77,0,0,1,660,660,0,0,1,660,660
78,3,230,3,1960,2190,1,90,3,2160,2250
79,1,80,1,610,690,1,80,1,610,690
80,0,0,1,600,600,0,0,1,600,600
81,1,80,1,850,930,0,0,2,1140,1140
82,0,0,3,2040,2040,0,0,3,2100,2100
83,1,80,3,2260,2340,1,80,3,2320,2400
84,1,80,1,610,690,0,0,1,720,720
85,0,0,1,600,600,0,0,1,540,540
86,0,0,1,780,780,0,0,2,1140,1140
87,0,0,2,1500,1500,1,80,2,1450,1530
88,0,0,1,720,720,0,0,1,780,780
89,1,90,3,2220,2310,1,90,3,2190,2280
90,1,80,2,1540,1620,1,70,1,830,900
91,0,0,1,720,720,0,0,1,720,720
92,0,0,1,720,720,0,0,1,720,720
93,0,0,1,840,840,0,0,1,840,840
94,1,80,1,610,690,0,0,1,660,660
95,1,80,3,2140,2220,0,0,3,2220,2220
96,1,80,1,790,870,0,0,1,840,840
97,2,170,3,2200,2370,0,0,3,2280,2280
98,0,0,1,780,780,1,80,1,700,780
99,0,0,1,660,660,1,80,1,730,810
100,0,0,3,1920,1920,0,0,3,2400,2400
101,0,0,2,1320,1320,0,0,2,1500,1500
102,1,90,1,600,690,1,90,1,780,870
103,0,0,1,840,840,1,80,1,670,750
104,1,80,1,610,690,0,0,1,780,780
105,0,0,1,840,840,0,0,1,780,780
106,1,70,1,560,630,0,0,1,540,540
107,0,0,1,600,600,0,0,1,600,600
108,1,80,1,670,750,0,0,1,660,660
109,0,0,1,840,840,0,0,1,540,540
110,0,0,1,600,600,1,70,1,620,690
111,0,0,1,780,780,1,80,1,820,900
112,1,70,1,710,780,0,0,1,780,780
113,0,0,1,540,540,1,90,1,750,840
114,1,90,1,600,690,0,0,1,780,780
115,1,90,3,2280,2370,0,0,3,2400,2400
116,0,0,1,780,780,0,0,1,720,720
117,1,80,1,610,690,0,0,1,720,720
