index,before_drinks_n,before_drinks_price,before_pizza_n,before_pizza_price,before_total_price,during_drinks_n,during_drinks_price,during_pizza_n,during_pizza_price,during_total_price
0,0,0,1,780,780,1,90,1,690,780
1,0,0,1,660,660,1,80,1,610,690
2,0,0,1,540,540,1,80,1,790,870
3,1,80,4,2830,2910,2,180,4,2790,2970
4,0,0,4,2640,2640,1,70,4,2480,2550
5,1,80,1,640,720,0,0,1,780,780
6,1,90,1,540,630,0,0,1,600,600
7,0,0,1,660,660,0,0,1,660,660
8,0,0,4,2880,2880,0,0,4,2860,2860
9,1,70,1,710,780,0,0,1,780,780
10,1,80,7,4990,5070,2,160,6,4400,4560
11,1,80,1,730,810,0,0,1,780,780
12,2,150,2,1350,1500,1,80,2,1450,1530
13,1,90,2,1170,1260,0,0,2,1440,1440
14,0,0,3,1740,1740,1,70,2,1670,1740
15,1,80,2,1420,1500,0,0,2,1500,1500
16,0,0,2,1440,1440,0,0,2,1450,1450
17,0,0,1,780,780,0,0,1,780,780
18,0,0,1,600,600,1,80,1,820,900
19,0,0,2,1260,1260,0,0,2,1450,1450
20,1,70,1,830,900,1,80,1,850,930
21,0,0,4,3060,3060,0,0,4,3060,3060
22,1,80,2,1330,1410,0,0,2,1560,1560
23,0,0,1,720,720,0,0,1,580,580
24,0,0,1,600,600,0,0,1,780,780
25,0,0,4,2700,2700,0,0,4,2640,2640
26,0,0,1,780,780,1,90,1,720,810
27,1,70,3,2180,2250,0,0,3,2040,2040
28,1,80,1,610,690,0,0,1,790,790
29,0,0,1,540,540,0,0,1,720,720
30,0,0,1,600,600,0,0,1,780,780
31,0,0,1,660,660,0,0,1,840,840
32,0,0,3,2220,2220,0,0,3,2160,2160
33,0,0,4,2700,2700,1,80,4,2590,2670
34,1,70,2,1400,1470,1,80,2,1450,1530
35,0,0,1,840,840,0,0,1,840,840
36,0,0,1,540,540,0,0,1,700,700
37,0,0,1,660,660,0,0,1,660,660
38,1,80,3,2410,2490,1,80,4,2590,2670
39,1,80,1,790,870,0,0,1,840,840
40,1,80,2,1330,1410,0,0,2,1450,1450
41,1,80,1,730,810,1,80,1,700,780
42,0,0,2,1200,1200,1,90,2,1120,1210
43,1,70,1,740,810,0,0,1,780,780
44,2,160,2,1190,1350,1,80,2,1270,1350
45,0,0,1,660,660,0,0,1,840,840
46,0,0,2,1440,1440,0,0,2,1440,1440
